"AÑO","DEPARTAMENTO","PROVINCIA","MUNICIPIO","No. ACCESOS FIJOS","POBLACIÓN DANE"
2022,"Antioquia","NORTE (ANTIOQUIA)","SAN JOSE DE LA MONTANA",409,3851
2021,"Sucre","MONTES DE MARIA (SUCRE)","OVEJAS",795,23283
2021,"Arauca","ARAUCA","PUERTO RONDON",45,4966
2021,"Norte De Santander","SUR OCCIDENTE","CHITAGA",182,12844
2021,"Narino","NORTE (NARINO)","SAN LORENZO",325,19026
2022,"Antioquia","SUROESTE","BETANIA",939,10718
2022,"Boyaca","NEIRA","MACANAL",260,5235
2022,"Narino","NORTE (NARINO)","EL ROSARIO",227,12771
2021,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","GUADALAJARA DE BUGA",26346,132493
2022,"Antioquia","SUROESTE","PUEBLORRICO",754,9041
2022,"Cesar","SUR (CESAR)","PELAYA",185,23351
2021,"Narino","SUR (NARINO)","FUNES",59,7385
2022,"Antioquia","ORIENTE (ANTIOQUIA)","GUATAPE",2118,8862
2022,"Bolivar","MOJANA BOLIVARENSE","PINILLOS",30,26109
2021,"Cundinamarca","TEQUENDAMA","QUIPILE",40,6710
2022,"Antioquia","SUROESTE","VENECIA",1553,12107
2022,"Narino","NORTE (NARINO)","SAN BERNARDO",414,9504
2021,"Boyaca","NEIRA","PACHAVITA",8,2524
2021,"Risaralda","UNO - VERTIENTE ORIENTAL","MARSELLA",829,17129
2022,"Boyaca","CENTRO (BOYACA)","SORACA",116,6299
2021,"Cundinamarca","SUMAPAZ","GRANADA",498,7777
2022,"Santander","COMUNERA","SOCORRO",4141,35208
2021,"Tolima","SURORIENTE","PRADO",40,8694
2022,"Cundinamarca","ORIENTE (CUNDINAMARCA)","UNE",210,7808
2021,"Huila","NORTE (HUILA)","IQUIRA",617,9687
2021,"Cundinamarca","BAJO MAGDALENA","PUERTO SALGAR",404,17025
2021,"Putumayo","PUTUMAYO","COLON",51,5631
2022,"Antioquia","NORDESTE","YALI",196,7957
2022,"Risaralda","UNO - VERTIENTE ORIENTAL","MARSELLA",601,17166
2022,"Sucre","MONTES DE MARIA (SUCRE)","MORROA",523,16160
2021,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","ALCALA",1242,14709
2022,"Boyaca","TUNDAMA","BUSBANZA",48,1184
2022,"Bolivar","DEPRESION MOMPOSINA","HATILLO DE LOBA",20,13046
2021,"Choco","PACIFICO NORTE","BAHIA SOLANO",917,10881
2022,"Cesar","SUR (CESAR)","GAMARRA",38,16842
2022,"Santander","COMUNERA","PALMAS DEL SOCORRO",10,2618
